Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
(vertigo) Paroymsal  Positional Vertigo,Sit or lie down immediately when dizziness starts,Avoid sudden head movements,Stay hydrated,Consult a doctor if episodes repeat
AIDS,Avoid unprotected contact with others' blood or bodily fluids,"Eat a balanced, nutritious diet",Get regular medical checkups,Consult a specialist immediately
Acne,Wash affected area gently twice a day,Avoid touching or squeezing pimples,"Use non-oily, non-comedogenic skin products",Consult a dermatologist if it persists
Alcoholic hepatitis,Stop alcohol consumption completely,Rest and stay hydrated,"Eat a liver-friendly, low-fat diet",Seek medical attention promptly
Allergy,Identify and avoid the triggering allergen,Keep the surrounding area clean and dust-free,Stay hydrated,Consult a doctor if breathing difficulty occurs
Arthritis,Keep joints gently active with light movement,Apply warm or cold compress for pain relief,Maintain a healthy body weight,Consult a doctor for persistent joint pain
Bronchial Asthma,"Avoid known triggers (dust, smoke, cold air)",Sit upright to ease breathing,Keep the surrounding air clean,Seek emergency care if breathing becomes difficult
Cervical spondylosis,Maintain proper posture while sitting and sleeping,Avoid sudden neck movements,Apply warm compress for relief,Consult a doctor for persistent neck pain
Chicken pox,Isolate from others to prevent spreading,Avoid scratching the rash,Keep skin clean and trim nails short,"Consult a doctor, especially for adults or infants"
Chronic cholestasis,Avoid fatty and oily foods,Stay well hydrated,Rest adequately,Consult a doctor for liver function evaluation
Common Cold,Rest and stay hydrated,Drink warm fluids,Avoid cold drinks and exposure to cold air,Consult a doctor if fever persists beyond a few days
Dengue,Rest and drink plenty of fluids,"Avoid mosquito bites, use nets/repellent",Do not take pain relievers without medical advice,Seek emergency care immediately
Diabetes ,Monitor blood sugar levels regularly,"Maintain a balanced, low-sugar diet",Stay physically active,Consult a doctor for proper management
Dimorphic hemmorhoids(piles),Increase fiber intake and stay hydrated,Avoid straining during bowel movements,Keep the area clean,Consult a doctor if bleeding or pain persists
Drug Reaction,Stop the suspected medication immediately,Stay hydrated,Avoid self-medicating further,Seek emergency care if swelling or breathing issues occur
Fungal infection,Keep affected area clean and dry,Avoid sharing towels or clothing,"Wear loose, breathable clothing",Consult a doctor if it spreads or persists
GERD,"Avoid spicy, oily, and acidic foods",Eat smaller meals and avoid lying down right after eating,Elevate the head while sleeping,Consult a doctor if symptoms persist
Gastroenteritis,Stay hydrated with oral rehydration solution,Rest and avoid solid food temporarily,Maintain hand and food hygiene,Seek medical care if dehydration signs appear
Heart attack,Call emergency services (108/112) immediately,Have the person sit down and stay calm,Loosen tight clothing,"Do not give food, water, or any medication unless directed by a doctor"
Hepatitis B,Avoid alcohol completely,Practice safe hygiene to prevent transmission,Rest and maintain a nutritious diet,Consult a doctor for evaluation and monitoring
Hepatitis C,Avoid alcohol completely,Avoid sharing needles or personal items that contact blood,Rest and eat a liver-friendly diet,Consult a doctor for monitoring and care
Hepatitis D,Avoid alcohol completely,Rest and stay hydrated,Maintain good hygiene to avoid spreading infection,Consult a doctor promptly
Hepatitis E,Avoid alcohol completely,"Drink clean, safe water only","Rest and eat light, liver-friendly meals",Consult a doctor for monitoring
Hypertension ,Reduce salt intake,Avoid stress and get adequate rest,Engage in regular light physical activity,Consult a doctor for blood pressure monitoring
Hyperthyroidism,Avoid iodine-rich foods unless advised otherwise,Manage stress and get adequate rest,Avoid excessive caffeine,Consult an endocrinologist for evaluation
Hypoglycemia,"Consume a source of quick sugar (juice, candy) if conscious",Rest until symptoms subside,Avoid skipping meals in the future,Seek medical attention if symptoms don't improve
Hypothyroidism,Maintain a balanced diet,Get adequate rest,Avoid excessive cold exposure,Consult an endocrinologist for evaluation
Impetigo,Keep affected skin clean and covered,Avoid scratching or touching the sores,Wash hands frequently to prevent spreading,"Consult a doctor, especially for children"
Jaundice,Rest and stay well hydrated,Avoid fatty and oily foods,Avoid alcohol completely,Consult a doctor for liver evaluation
Malaria,Rest and stay hydrated,Use mosquito nets and repellents to avoid further bites,Monitor body temperature regularly,Seek medical attention promptly
Migraine,"Rest in a quiet, dark room",Stay hydrated,"Avoid known triggers (bright light, certain foods, stress)",Consult a doctor if migraines are frequent or severe
Osteoarthristis,Maintain a healthy weight to reduce joint stress,"Engage in gentle, low-impact exercise",Apply warm compress for pain relief,Consult a doctor for persistent joint pain
Paralysis (brain hemorrhage),Call emergency services (108/112) immediately,Keep the person still and monitor breathing,Do not give food or water by mouth,Note the time symptoms started for medical staff
Peptic ulcer diseae,"Avoid spicy, oily, and acidic foods",Avoid alcohol and smoking,"Eat smaller, more frequent meals",Consult a doctor for proper evaluation
Pneumonia,Rest and stay well hydrated,Monitor breathing and temperature closely,Avoid smoke and other lung irritants,"Seek medical attention promptly, especially in children or elderly"
Psoriasis,Keep skin moisturized,Avoid scratching affected areas,"Avoid known triggers (stress, certain foods)",Consult a dermatologist for management
Tuberculosis,Isolate to avoid spreading infection to others,Cover mouth while coughing or sneezing,Maintain a nutritious diet and adequate rest,Seek medical attention immediately for proper treatment
Typhoid,"Drink only clean, boiled, or purified water",Rest and stay hydrated,Maintain strict food and hand hygiene,Seek medical attention promptly
Urinary tract infection,Drink plenty of water,Maintain good personal hygiene,Avoid holding urine for long periods,Consult a doctor if symptoms persist or worsen
Varicose veins,Avoid standing or sitting for long periods,Elevate legs when resting,Engage in light regular exercise like walking,Consult a doctor if pain or swelling increases
hepatitis A,Rest and stay well hydrated,Avoid alcohol and fatty foods,Maintain strict hand and food hygiene,Consult a doctor for monitoring
